epoch,count,mean,std,var,min,max,median,cv,range,experiment_id
17,313,0.13529405750798723,0.049072435022476164,0.002408103879035145,0.02508,0.31649,0.130713,0.3627094635666398,0.29141,high_accuracy_experiment
18,313,0.12649824920127797,0.0435408480547718,0.001895805449328725,0.033829,0.310937,0.121694,0.3442011911602957,0.277108,high_accuracy_experiment
19,313,0.12364541214057508,0.04506436426890993,0.002030796926961006,0.029054,0.284437,0.11902,0.36446450773018013,0.25538299999999997,high_accuracy_experiment
20,313,0.12262279233226839,0.0470241981536314,0.002211275211991991,0.025414,0.335153,0.117106,0.3834866035851714,0.309739,high_accuracy_experiment
21,313,0.11525511821086262,0.04648732913271136,0.002161071769893034,0.033849,0.32399,0.108517,0.4033428610750407,0.290141,high_accuracy_experiment
22,313,0.11256149201277955,0.04726252190575281,0.0022337459768917638,0.018287,0.298679,0.106979,0.4198818002553387,0.280392,high_accuracy_experiment
23,313,0.10841398083067093,0.048072569604082696,0.0023109719483393756,0.012831,0.27,0.100073,0.4434166999103744,0.25716900000000004,high_accuracy_experiment
24,313,0.10172004472843452,0.04196667035017246,0.001761201420280044,0.025618,0.243825,0.095979,0.4125703096396813,0.21820699999999998,high_accuracy_experiment
25,313,0.10091457188498403,0.04096542200757169,0.0016781658002584386,0.002351,0.224464,0.092391,0.4059415924021504,0.222113,high_accuracy_experiment
26,313,0.1036454089456869,0.046284907681124046,0.002142292679050176,0.016987,0.332086,0.097577,0.44656978202844116,0.315099,high_accuracy_experiment
27,313,0.09859889137380191,0.04765138691346374,0.002270654674776623,0.006324,0.289218,0.091999,0.4832852200417832,0.282894,high_accuracy_experiment
28,313,0.09620694888178913,0.04394954770577565,0.00193156274354225,0.004594,0.342989,0.090829,0.4568230072422014,0.338395,high_accuracy_experiment
29,313,0.09109513418530352,0.04955804143713207,0.0024559994710844995,0.010267,0.325557,0.083936,0.5440251214331855,0.31528999999999996,high_accuracy_experiment
30,313,0.08254548562300319,0.04429712328385393,0.0019622351312249538,0.006687,0.329313,0.076634,0.5366389566858338,0.322626,high_accuracy_experiment
31,313,0.08265770287539936,0.056397978141194384,0.00318073193841464,0.006399,0.720934,0.073389,0.682307591177683,0.7145349999999999,high_accuracy_experiment
32,313,0.08086554952076677,0.04110589128325341,0.0016896942981906489,0.002515,0.236264,0.073509,0.5083238972202516,0.233749,high_accuracy_experiment
33,313,0.0790477891373802,0.043168725093954835,0.001863538826237446,0.006904,0.282699,0.071779,0.5461092026107175,0.27579499999999996,high_accuracy_experiment
34,313,0.07359790415335463,0.043116426525891254,0.0018590262363625792,0.003437,0.293493,0.063965,0.5858376949980849,0.290056,high_accuracy_experiment
35,313,0.07070877316293929,0.039216430571535926,0.0015379284267720977,0.002952,0.241476,0.062874,0.5546190213365277,0.23852399999999999,high_accuracy_experiment
36,313,0.07747392971246006,0.059674121262595844,0.0035610007484629933,0.005856,0.66885,0.065181,0.7702477657203247,0.662994,high_accuracy_experiment
37,313,0.06573669968051118,0.03832385067730593,0.0014687175307364427,0.003812,0.199311,0.061236,0.5829901845326093,0.19549899999999998,high_accuracy_experiment
38,313,0.06924127476038339,0.05805124273549882,0.003369946783135804,0.001109,0.608041,0.055564,0.8383907277327167,0.606932,high_accuracy_experiment
39,313,0.0628205143769968,0.037024403636715615,0.0013708064646544406,0.0016,0.240513,0.057432,0.5893680432879894,0.23891300000000001,high_accuracy_experiment
40,313,0.0642413162939297,0.039731984554431846,0.001578630596633611,0.000458,0.260227,0.057136,0.6184802374322801,0.25976899999999997,high_accuracy_experiment
41,313,0.06471808626198083,0.04603826623653689,0.0021195219580662527,0.005309,0.285825,0.051784,0.7113663103413248,0.280516,high_accuracy_experiment
42,313,0.05524333226837061,0.03761657359392182,0.0014150066089469364,0.002191,0.24529,0.048316,0.6809251370134866,0.243099,high_accuracy_experiment
43,313,0.05393810223642172,0.03581071467151119,0.0012824072852843866,0.002799,0.231878,0.045396,0.6639224071055654,0.229079,high_accuracy_experiment
44,313,0.05257973162939297,0.041740181721061476,0.0017422427701072345,0.001664,0.271786,0.041971,0.7938454691109149,0.27012200000000003,high_accuracy_experiment
45,313,0.062136511182108625,0.044135304214536125,0.0019479250781096501,0.002839,0.289646,0.051305,0.7102958208449317,0.28680700000000003,high_accuracy_experiment
46,313,0.05586342172523962,0.04254250630403985,0.0018098648426292706,0.001668,0.329684,0.046064,0.7615449428300727,0.328016,high_accuracy_experiment
47,313,0.05328850798722045,0.04380814833841395,0.0019191538608404805,0.002703,0.305719,0.044188,0.8220937307706182,0.303016,high_accuracy_experiment
48,313,0.05339361022364217,0.060435846568702864,0.0036524915504757938,0.002798,0.82765,0.041508,1.1318928672469213,0.824852,high_accuracy_experiment
49,313,0.0522507571884984,0.06389166997176232,0.004082145491780596,0.001011,0.815092,0.038789,1.2227893605688522,0.814081,high_accuracy_experiment
50,313,0.05539446006389776,0.07187970875580753,0.0051666925308197125,0.001382,0.692492,0.037051,1.297597425318235,0.69111,high_accuracy_experiment
51,313,0.04308716932907348,0.04045868025988831,0.0016369048083718757,0.000938,0.349652,0.032909,0.9389960141240569,0.348714,high_accuracy_experiment
52,313,0.048095686900958466,0.05168863424357193,0.0026717149099657568,0.001147,0.384963,0.034067,1.074704148627969,0.383816,high_accuracy_experiment
53,313,0.046460076677316296,0.038007281766052434,0.001444553467244102,0.001832,0.217891,0.035928,0.8180632595599899,0.216059,high_accuracy_experiment
54,313,0.06417727156549521,0.13533072352912467,0.018314404730916382,0.001954,1.735232,0.036906,2.1087017292565142,1.733278,high_accuracy_experiment
55,313,0.05134499041533547,0.0766447082438518,0.005874411301785164,0.003248,0.744679,0.03251,1.4927397517043832,0.741431,high_accuracy_experiment
56,313,0.049689472843450475,0.07055426417163844,0.004977904192801344,0.00215,0.639803,0.03063,1.4199036563322716,0.637653,high_accuracy_experiment
57,313,0.04553188817891374,0.048187318725625525,0.00232201768596502,0.002517,0.339466,0.029855,1.058320237813936,0.336949,high_accuracy_experiment
58,313,0.05302358785942492,0.13022709692280549,0.016959096772941773,0.000854,1.891409,0.029184,2.456021973995064,1.890555,high_accuracy_experiment
59,313,0.045623424920127796,0.09298920307370968,0.008646991888283618,0.000912,1.353007,0.025897,2.038189882423435,1.352095,high_accuracy_experiment
60,313,0.04162976357827476,0.05165086145707568,0.002667811489258026,0.00135,0.643123,0.028888,1.2407195481655489,0.641773,high_accuracy_experiment
61,313,0.0437895303514377,0.05836177866532723,0.0034060972089806443,0.00225,0.682571,0.027457,1.3327792784471162,0.6803210000000001,high_accuracy_experiment
62,313,0.039313092651757184,0.04541448125987532,0.002062475108103567,0.001227,0.428969,0.024227,1.1551999142414309,0.427742,high_accuracy_experiment
63,313,0.047074693290734826,0.086047731553976,0.007404212105585117,0.001015,0.76809,0.026623,1.827897869085252,0.7670750000000001,high_accuracy_experiment
64,313,0.04470785303514377,0.04912638968965529,0.0024134021639398693,0.000444,0.35883,0.029443,1.0988313317357963,0.358386,high_accuracy_experiment
65,313,0.050306399361022366,0.05819820669193599,0.003387031262157303,0.000968,0.468357,0.033829,1.1568748197277707,0.467389,high_accuracy_experiment
66,313,0.04548641214057508,0.07505678285065577,0.005633520651890495,0.001439,0.805398,0.028083,1.6500923972348907,0.803959,high_accuracy_experiment
67,313,0.0314876517571885,0.03333859644592298,0.001111462012984108,0.000686,0.265869,0.020648,1.058783192313219,0.265183,high_accuracy_experiment
68,313,0.03530704792332268,0.06672823250660867,0.004452657013456027,0.000431,0.91172,0.020187,1.8899408597264848,0.911289,high_accuracy_experiment
69,313,0.040066271565495214,0.05138701791190006,0.002640625609877938,0.001207,0.315337,0.02093,1.2825505320079293,0.31412999999999996,high_accuracy_experiment
70,313,0.0425022268370607,0.06393364409058493,0.0040875108467015855,0.001223,0.841251,0.026015,1.5042422209002153,0.840028,high_accuracy_experiment
